Timestamp_S,Data
1.39795,8396855
1.41357,8397202
1.42918,8397237
1.44480,8396992
1.46042,8397251
1.47604,8397038
1.49166,8397381
1.50323,8397328
1.51885,8396720
1.53447,8396607
1.55009,8397200
1.56571,8397174
1.58132,8396981
1.59694,8397176
1.60882,8396748
1.62444,8396835
1.64006,8396933
1.65568,8397286
1.67129,8397210
1.68691,8396760
1.69763,8396952
1.71325,8396983
1.72887,8397385
1.74449,8397020
1.76011,8396879
1.77572,8397086
1.79134,8397150
1.80276,8397150
1.81838,8396991
1.83400,8397168
1.84962,8397258
1.86524,8397013
1.88086,8396822
1.89647,8397005
1.90902,8397160
1.92464,8396836
1.94026,8397550
1.95588,8396994
1.97150,8396723
1.98712,8396949
2.00273,8397044
2.01290,8396973
2.02852,8397287
2.04414,8396680
2.05976,8396930
2.07538,8397191
2.09100,8397396
2.10245,8397402
2.11807,8397099
2.13368,8396768
2.14930,8396871
2.16492,8397080
2.18054,8397248
2.19616,8397390
2.20910,8397057
2.22472,8396781
2.24034,8396932
2.25596,8396967
2.27158,8396998
2.28720,8397261
2.30282,8397212
2.31268,8396938
2.32830,8397470
2.34392,8396977
2.35954,8397038
2.37515,8396957
2.39077,8396858
2.40639,8396832
2.41778,8397057
2.43340,8397245
2.44902,8397160
2.46464,8397292
2.48025,8396936
2.49587,8397278
2.50937,8397198
2.52499,8396994
2.54061,8396908
2.55622,8397331
2.57184,8396991
2.58746,8396898
2.60308,8397237
2.61230,8396940
2.62792,8397039
2.64354,8396866
2.65916,8397217
2.67478,8397260
2.69040,8396892
2.70601,8397051
2.71740,8397010
2.73302,8397098
2.74864,8397322
2.76426,8396768
2.77988,8397066
2.79550,8397054
2.81111,8396892
2.82516,8396921
2.84078,8397126
2.85640,8397003
2.87202,8397058
2.88763,8396631
2.90325,8397116
2.91202,8397280
2.92764,8397230
2.94325,8397143
2.95887,8397142
2.97449,8397052
2.99011,8396796
3.00573,8397026
3.01712,8397167
3.03274,8397444
3.04836,8396970
3.06397,8396851
3.07959,8397418
3.09521,8397027
3.11083,8397132
3.12527,8397043
3.14089,8396937
3.15651,8397130
3.17213,8396357
3.18775,8396968
3.20336,8397160
3.21898,8396878
3.22756,8396982
3.24318,8397028
3.25880,8396788
3.27442,8397433
3.29004,8396814
3.30566,8397226
3.31680,8396807
3.33242,8397217
3.34804,8396859
3.36366,8397268
3.37928,8397389
3.39490,8397134
3.41051,8397507
3.42187,8396965
3.43749,8397356
3.45311,8396894
3.46873,8397141
3.48435,8397025
3.49997,8397504
3.51558,8397184
3.52774,8396991
3.54336,8396592
3.55897,8396928
3.57459,8396854
3.59021,8397061
3.60583,8397211
3.62145,8397430
3.63208,8397156
3.64769,8397092
3.66331,8396842
3.67893,8397268
3.69455,8397272
3.71017,8396929
3.72159,8397030
3.73721,8397048
3.75283,8397207
3.76844,8396823
3.78406,8397051
3.79968,8396973
3.81530,8397096
3.82803,8397010
3.84365,8397226
3.85927,8396937
3.87489,8396938
3.89051,8396954
3.90612,8397031
3.92174,8397437
3.93179,8397116
3.94741,8397248
3.96303,8396793
3.97865,8397116
3.99426,8396769
4.00988,8396675
4.02550,8397110
4.03689,8397109
4.05251,8397358
4.06813,8397098
4.08375,8397216
4.09936,8396721
4.11498,8397356
4.12820,8397200
4.14382,8397530
4.15944,8396940
4.17506,8396893
4.19068,8396871
4.20630,8397160
4.22192,8397191
4.23144,8397328
4.24706,8397393
4.26268,8397080
4.27830,8396803
4.29392,8397094
4.30954,8397129
4.32515,8397140
4.33654,8397615
4.35216,8397317
4.36778,8397144
4.38340,8397221
4.39902,8397381
4.41464,8397090
4.43026,8397213
4.44393,8397297
4.45955,8397149
4.47517,8396909
4.49079,8397503
4.50641,8397018
4.52203,8397157
4.53116,8397168
4.54678,8397059
4.56240,8397165
4.57801,8396723
4.59363,8397145
4.60925,8397003
4.62487,8396658
4.63626,8396919
4.65188,8397220
4.66750,8397171
4.68311,8397241
4.69873,8396987
4.71435,8397351
4.72997,8397051
4.74411,8397360
4.75973,8397107
4.77534,8397116
4.79096,8397271
4.80658,8397267
4.82220,8397148
4.83782,8397116
4.84655,8396663
4.86217,8396748
4.87779,8397214
4.89341,8397018
4.90903,8396917
4.92465,8397242
4.93604,8397057
4.95165,8397135
4.96727,8396742
4.98289,8397179
4.99851,8397224
5.01413,8396742
5.02975,8396579
5.04431,8397201
5.05993,8396819
5.07555,8396928
5.09117,8396899
5.10678,8397067
5.12240,8396867
5.13802,8396926
5.14663,8396985
5.16225,8397184
5.17787,8396673
5.19349,8397050
5.20911,8396969
5.22473,8397077
5.24034,8396749
5.25131,8397011
5.26693,8397253
5.28254,8397092
5.29816,8396991
5.31378,8397118
5.32940,8397310
5.34082,8396927
5.35644,8396693
5.37206,8397021
5.38768,8397029
5.40329,8397348
5.41891,8397237
5.43453,8397082
5.44693,8397161
5.46255,8397192
5.47817,8397003
5.49378,8396801
5.50940,8397012
5.52502,8397012
5.54064,8397279
5.55105,8397103
5.56667,8397028
5.58229,8396953
5.59791,8396936
5.61353,8397222
5.62915,8396839
5.64476,8397358
5.65609,8396836
5.67171,8397098
5.68733,8397032
5.70295,8396934
5.71857,8397204
5.73418,8396877
5.74713,8397028
5.76275,8397189
5.77837,8397018
5.79399,8396776
5.80961,8397088
5.82522,8396930
5.84084,8396782
5.85074,8397094
5.86636,8397106
5.88197,8396866
5.89759,8397010
5.91321,8396702
5.92883,8396819
5.94445,8397054
5.95575,8397082
5.97136,8396958
5.98698,8396686
6.00260,8396951
6.01822,8397313
6.03384,8397483
6.04946,8396778
6.06295,8397257
6.07857,8397140
6.09419,8397333
6.10981,8397355
6.12543,8397188
6.14105,8397247
6.15036,8397289
6.16598,8396692
6.18160,8397064
6.19722,8397050
6.21283,8397137
6.22845,8397262
6.24407,8397262
6.25543,8396896
6.27105,8396853
6.28667,8397096
6.30229,8397534
6.31790,8397073
6.33352,8396796
6.34914,8397294
6.36309,8397165
6.37871,8396903
6.39433,8397167
6.40995,8397014
6.42557,8396987
6.44119,8397176
6.45681,8396966
6.46569,8396991
6.48131,8397428
6.49693,8396874
6.51255,8397079
6.52817,8396866
6.54379,8397242
6.55521,8397331
6.57082,8397023
6.58644,8397211
6.60206,8396932
6.61768,8397172
6.63330,8397389
6.64892,8396914
6.66330,8397248
6.67892,8397080
6.69453,8397078
6.71015,8397604
6.72577,8397119
6.74139,8397339
6.75701,8397404
6.76565,8397408
6.78127,8397092
6.79689,8397112
6.81251,8396989
6.82813,8397376
6.84374,8397332
6.85936,8396891
6.87051,8397154
6.88613,8396954
6.90175,8397373
6.91736,8397489
6.93298,8396922
6.94860,8396973
6.96021,8397193
6.97582,8397065
6.99144,8396940
7.00706,8397368
7.02268,8397304
7.03830,8396961
7.05392,8397105
7.06576,8396908
7.08138,8396886
7.09700,8396994
7.11262,8396970
7.12824,8397031
7.14386,8396890
7.15947,8397174
7.17010,8397279
7.18572,8396873
7.20134,8397658
7.21696,8396672
7.23258,8396935
7.24819,8396844
7.26381,8396777
7.27520,8397079
7.29082,8397093
7.30644,8397036
7.32206,8397065
7.33768,8396514
7.35330,8397225
7.36591,8397090
7.38152,8396957
7.39714,8397295
7.41276,8397193
7.42838,8397148
7.44400,8396751
7.45962,8397349
7.46982,8397036
7.48543,8397416
7.50105,8396976
7.51667,8396885
7.53229,8396881
