Timestamp_S,X,Y,Z
1.29922,0.054600,-0.161304,0.991848
1.29972,0.052104,-0.162474,0.996528
1.30022,0.050076,-0.160446,0.996294
1.30072,0.049374,-0.163176,0.992862
1.30122,0.049296,-0.164814,0.990678
1.30172,0.050700,-0.167310,0.990132
1.30222,0.049920,-0.168636,0.990834
1.30272,0.049374,-0.162162,0.991380
1.30322,0.049296,-0.162942,0.989976
1.30372,0.052416,-0.163644,0.993564
1.30422,0.050388,-0.161772,0.992004
1.30472,0.052104,-0.163488,0.992784
1.30522,0.051948,-0.161538,0.993954
1.30572,0.055302,-0.161850,0.993486
1.30622,0.053430,-0.164268,0.994500
1.30672,0.051402,-0.163254,0.993330
1.30722,0.046956,-0.163644,0.988572
1.30772,0.050076,-0.161304,0.987324
1.30817,0.051012,-0.160134,0.989430
1.30867,0.048828,-0.157482,0.992472
1.30917,0.047268,-0.159354,0.991224
1.30967,0.045318,-0.161850,0.994734
1.31017,0.050778,-0.160290,0.990600
1.31067,0.051636,-0.159822,0.991068
1.31117,0.048828,-0.161148,0.993018
1.31167,0.053664,-0.161694,0.990678
1.31217,0.053664,-0.162006,0.995748
1.31267,0.054132,-0.163020,0.992472
1.31317,0.049608,-0.162474,0.992628
1.31367,0.052962,-0.158886,0.991224
1.31417,0.053118,-0.159432,0.987870
1.31467,0.050856,-0.159276,0.989352
1.31517,0.052494,-0.163566,0.990288
1.31567,0.049452,-0.160758,0.990210
1.31617,0.047970,-0.164736,0.990912
1.31667,0.049218,-0.166452,0.987870
1.31711,0.054990,-0.163020,0.986076
1.31761,0.050466,-0.162474,0.991848
1.31811,0.051636,-0.165594,0.991770
1.31861,0.050622,-0.162162,0.990054
1.31911,0.050466,-0.162474,0.989586
1.31961,0.050700,-0.161460,0.989430
1.32011,0.050856,-0.161538,0.993486
1.32061,0.053820,-0.165126,0.989742
1.32111,0.053196,-0.165516,0.988728
1.32161,0.051246,-0.163176,0.987870
1.32211,0.047268,-0.160602,0.990054
1.32261,0.049218,-0.164502,0.991926
1.32311,0.051012,-0.167778,0.990288
1.32361,0.050544,-0.165438,0.988806
1.32411,0.050466,-0.164736,0.984438
1.32461,0.049608,-0.161460,0.985296
1.32511,0.051090,-0.160680,0.986622
1.32561,0.049530,-0.161694,0.989040
1.32608,0.046800,-0.164892,0.993330
1.32658,0.047892,-0.163878,0.991068
1.32708,0.049998,-0.163488,0.992550
1.32758,0.047346,-0.163878,0.991224
1.32808,0.046722,-0.160056,0.992940
1.32858,0.047268,-0.159900,0.995514
1.32908,0.051168,-0.160368,0.995202
1.32958,0.051870,-0.162708,0.992082
1.33008,0.048828,-0.161538,0.989898
1.33058,0.047424,-0.163566,0.987090
1.33108,0.045006,-0.163020,0.991692
1.33158,0.049452,-0.164268,0.991614
1.33208,0.050700,-0.161226,0.989352
1.33258,0.049296,-0.162162,0.986076
1.33308,0.047970,-0.161616,0.988494
1.33358,0.047814,-0.161538,0.988728
1.33408,0.046800,-0.165360,0.991224
1.33458,0.050778,-0.163410,0.992082
