Timestamp_S,Data
1.40576,8406683
1.42138,8406841
1.43699,8406476
1.45261,8406551
1.46823,8406738
1.48385,8406668
1.49542,8406644
1.51104,8406677
1.52666,8406436
1.54228,8406742
1.55790,8406924
1.57351,8406496
1.58913,8406657
1.60101,8406973
1.61663,8406678
1.63225,8406788
1.64787,8406591
1.66349,8406474
1.67910,8406927
1.69472,8406568
1.70544,8406348
1.72106,8406346
1.73668,8406444
1.75230,8406632
1.76792,8406831
1.78353,8406635
1.79915,8406653
1.81057,8406840
1.82619,8406602
1.84181,8406640
1.85743,8406773
1.87305,8406495
1.88866,8406359
1.90121,8406877
1.91683,8406704
1.93245,8406700
1.94807,8406710
1.96369,8406466
1.97931,8406847
1.99493,8406638
2.00509,8406783
2.02071,8406639
2.03633,8406936
2.05195,8406603
2.06757,8406654
2.08319,8406887
2.09881,8406785
2.11026,8406836
2.12588,8406794
2.14149,8406860
2.15711,8406785
2.17273,8406668
2.18835,8406940
2.20397,8406662
2.21691,8406906
2.23253,8406950
2.24815,8406684
2.26377,8406701
2.27939,8406653
2.29501,8406688
2.30487,8406809
2.32049,8406920
2.33611,8406673
2.35173,8406669
2.36734,8406757
2.38296,8406693
2.39858,8406772
2.40997,8406505
2.42559,8406777
2.44121,8406861
2.45683,8406646
2.47245,8406717
2.48806,8406901
2.50368,8406339
2.51718,8407217
2.53280,8406852
2.54842,8406748
2.56403,8406671
2.57965,8406573
2.59527,8406868
2.61089,8406839
2.62011,8406467
2.63573,8406824
2.65135,8406429
2.66697,8406949
2.68259,8406648
2.69820,8406505
2.70959,8406527
2.72521,8406620
2.74083,8407022
2.75645,8406632
2.77207,8406640
2.78769,8406772
2.80331,8406753
2.81735,8406643
2.83297,8406935
2.84859,8406477
2.86421,8406809
2.87982,8406776
2.89544,8406607
2.91106,8406862
2.91983,8406633
2.93545,8406733
2.95106,8406718
2.96668,8406379
2.98230,8406887
2.99792,8406581
3.01354,8406496
3.02493,8406422
3.04055,8406826
3.05616,8406381
3.07178,8406361
3.08740,8406938
3.10302,8406049
3.11746,8406430
3.13308,8406481
3.14870,8406736
3.16432,8406759
3.17994,8406647
3.19555,8406610
3.21117,8406901
3.21976,8406655
3.23537,8406805
3.25099,8406923
3.26661,8406935
3.28223,8406575
3.29785,8406894
3.31347,8406751
3.32461,8406879
3.34023,8406532
3.35585,8406977
3.37147,8406490
3.38709,8406850
3.40270,8406540
3.41832,8407148
3.42968,8406538
3.44530,8406929
3.46092,8406697
3.47654,8406870
3.49216,8406625
3.50778,8406890
3.51993,8406431
3.53555,8406674
3.55116,8406737
3.56678,8406896
3.58240,8406345
3.59802,8406835
3.61364,8406967
3.62427,8406755
3.63988,8406926
3.65550,8406988
3.67112,8406815
3.68674,8406888
3.70236,8406708
3.71798,8406933
3.72940,8407102
3.74502,8406481
3.76063,8406792
3.77625,8406861
3.79187,8406420
3.80749,8406490
3.82311,8406415
3.83584,8406684
3.85146,8406488
3.86708,8406664
3.88270,8406806
3.89832,8406652
3.91393,8406625
3.92398,8406838
3.93960,8406758
3.95522,8406596
3.97084,8406296
3.98645,8406529
4.00207,8406696
4.01769,8406896
4.02908,8406467
4.04470,8406789
4.06032,8406647
4.07594,8406803
4.09156,8406687
4.10717,8406774
4.12279,8406893
4.13601,8406792
4.15163,8406509
4.16725,8406724
4.18287,8406446
4.19849,8406457
4.21411,8406924
4.22972,8406643
4.23925,8406687
4.25487,8406964
4.27049,8406899
4.28611,8406535
4.30173,8406525
4.31735,8406884
4.32874,8406463
4.34435,8406909
4.35997,8406496
4.37559,8406690
4.39121,8406545
4.40683,8406710
4.42245,8406881
4.43613,8406587
4.45174,8406791
4.46736,8406834
4.48298,8406859
4.49860,8406864
4.51422,8406495
4.52984,8407146
4.53897,8406862
4.55459,8406906
4.57020,8406706
4.58582,8406956
4.60144,8406600
4.61706,8406873
4.63268,8406722
4.64407,8406886
4.65969,8406853
4.67531,8406655
4.69092,8406576
4.70654,8406608
4.72216,8406763
4.73630,8406487
4.75192,8406698
4.76753,8406931
4.78315,8406894
4.79877,8406574
4.81439,8406678
4.83001,8406503
4.83874,8406882
4.85436,8406770
4.86998,8406545
4.88560,8406987
4.90122,8406659
4.91684,8407097
4.93245,8406899
4.94384,8406939
4.95946,8406456
4.97508,8406383
4.99070,8406649
5.00632,8406688
5.02194,8406385
5.03756,8406696
5.05212,8406764
5.06774,8407241
5.08336,8406695
5.09897,8406514
5.11459,8406538
5.13021,8406601
5.13882,8406829
5.15444,8406789
5.17006,8406963
5.18568,8406494
5.20130,8406553
5.21692,8406622
5.23254,8406945
5.24350,8406256
5.25912,8406725
5.27474,8406618
5.29035,8406416
5.30597,8406666
5.32159,8406585
5.33721,8406656
5.34863,8406523
5.36425,8406573
5.37987,8406097
5.39549,8406370
5.41110,8406458
5.42672,8406753
5.44234,8406550
5.45474,8406605
5.47036,8406392
5.48597,8406769
5.50159,8407086
5.51721,8406557
5.53283,8406655
5.54324,8406693
5.55886,8406760
5.57448,8406728
5.59010,8406587
5.60572,8406742
5.62134,8406679
5.63695,8406581
5.64828,8406949
5.66390,8406645
5.67952,8406657
5.69514,8406772
5.71076,8406679
5.72638,8406773
5.74199,8406639
5.75494,8406453
5.77056,8406859
5.78618,8406900
5.80180,8406652
5.81741,8406536
5.83303,8406869
5.84865,8406640
5.85855,8406628
5.87416,8406901
5.88978,8406906
5.90540,8406562
5.92102,8406650
5.93664,8406507
5.94794,8406183
5.96356,8406928
5.97917,8406857
5.99479,8406257
6.01041,8407082
6.02603,8406776
6.04165,8406828
6.05514,8406667
6.07076,8406744
6.08638,8406566
6.10200,8406637
6.11762,8406785
6.13324,8406641
6.14885,8406406
6.15817,8407184
6.17379,8406434
6.18941,8406599
6.20502,8406662
6.22064,8406740
6.23626,8407082
6.25188,8406495
6.26324,8406256
6.27886,8406652
6.29448,8406816
6.31010,8406633
6.32571,8406609
6.34133,8406737
6.35529,8407237
6.37090,8406975
6.38652,8406501
6.40214,8406747
6.41776,8406936
6.43338,8406848
6.44900,8406625
6.45788,8406579
6.47350,8406744
6.48912,8406680
6.50474,8406559
6.52036,8406733
6.53598,8406893
6.55160,8406820
6.56302,8406842
6.57863,8406682
6.59425,8406485
6.60987,8406631
6.62549,8406708
6.64111,8406663
6.65673,8406511
6.67111,8406783
6.68673,8406829
6.70234,8406528
6.71796,8406512
6.73358,8406501
6.74920,8406653
6.75784,8406922
6.77346,8406841
6.78908,8406867
6.80470,8406793
6.82032,8406705
6.83594,8406826
6.85155,8407122
6.86270,8406664
6.87832,8406868
6.89394,8406618
6.90956,8406866
6.92517,8406704
6.94079,8406646
6.95641,8406885
6.96801,8406592
6.98363,8406631
6.99925,8406710
7.01487,8406458
7.03049,8406561
7.04611,8406927
7.06173,8406681
7.07357,8406403
7.08919,8406421
7.10481,8406777
7.12043,8406248
7.13605,8406980
7.15167,8406751
7.16229,8406973
7.17791,8406622
7.19353,8406681
7.20915,8406514
7.22477,8406531
7.24038,8406640
7.25600,8406822
7.26739,8406554
7.28301,8406695
7.29863,8406362
7.31425,8406801
7.32987,8406431
7.34549,8406788
7.36110,8406779
7.37372,8406861
7.38933,8406606
7.40495,8406510
7.42057,8406863
7.43619,8406683
7.45181,8406635
7.46743,8407128
