Timestamp_S,Data
0.45483,7819822
0.45683,7819853
0.45883,7819850
0.46083,7819805
0.46283,7819710
0.46483,7819559
0.46683,7819344
0.46883,7819063
0.47083,7818717
0.47283,7818316
0.47483,7817873
0.47683,7817411
0.47883,7816956
0.48083,7816535
0.48283,7816170
0.48483,7815880
0.48683,7815673
0.48883,7815548
0.49083,7815495
0.49283,7815499
0.49483,7815542
0.49683,7815602
0.49883,7815658
0.50083,7815693
0.50283,7815692
0.50483,7815650
0.50683,7815565
0.50883,7815446
0.51083,7815305
0.51283,7815156
0.51483,7815014
0.51683,7814893
0.51883,7814800
0.52083,7814739
0.52283,7814715
0.52483,7814728
0.52683,7814781
0.52883,7814874
0.53083,7815009
0.53283,7815185
0.53483,7815396
0.53683,7815636
0.53883,7815894
0.54083,7816156
0.54283,7816407
0.54483,7816634
0.54683,7816826
0.54883,7816975
0.55083,7817078
0.55283,7817135
0.55483,7817155
0.55683,7817144
0.55883,7817116
0.56083,7817080
0.56283,7817047
0.56483,7817021
0.56610,7817000
0.56810,7816976
0.57010,7816933
0.57210,7816848
0.57410,7816703
0.57610,7816490
0.57810,7816212
0.58010,7815880
0.58210,7815515
0.58410,7815150
0.58610,7814823
0.58810,7814571
0.59010,7814432
0.59210,7814443
0.59410,7814632
0.59610,7815012
0.59810,7815572
0.60010,7816271
0.60210,7817041
0.60410,7817796
0.60610,7818448
0.60810,7818919
0.61010,7819166
0.61210,7819184
0.61410,7819005
0.61610,7818684
0.61810,7818285
0.62010,7817875
0.62210,7817502
0.62410,7817191
0.62610,7816949
0.62810,7816773
0.63010,7816655
0.63210,7816586
0.63410,7816554
0.63610,7816552
0.63810,7816579
0.64010,7816634
0.64210,7816719
0.64410,7816832
0.64610,7816969
0.64810,7817117
0.65010,7817258
0.65210,7817373
0.65410,7817443
0.65610,7817458
0.65810,7817421
0.66010,7817345
0.66210,7817250
0.66410,7817160
0.66610,7817094
0.66810,7817060
0.67010,7817056
0.67210,7817073
0.67410,7817097
0.67610,7817115
0.67737,7817116
0.67937,7817096
0.68137,7817047
0.68337,7816965
0.68537,7816846
0.68737,7816692
0.68937,7816513
0.69137,7816313
0.69337,7816099
0.69537,7815884
0.69737,7815691
0.69937,7815552
0.70137,7815504
0.70337,7815584
0.70537,7815820
0.70737,7816220
0.70937,7816756
0.71137,7817366
0.71337,7817964
0.71537,7818461
0.71737,7818784
0.71937,7818897
0.72137,7818809
0.72337,7818573
0.72537,7818263
0.72737,7817953
0.72937,7817696
0.73137,7817521
0.73337,7817429
0.73537,7817401
0.73737,7817407
0.73937,7817424
0.74137,7817445
0.74337,7817470
0.74537,7817503
0.74737,7817550
0.74937,7817609
0.75137,7817681
0.75337,7817761
0.75537,7817842
0.75737,7817912
0.75937,7817960
0.76137,7817978
0.76337,7817962
0.76537,7817917
0.76737,7817852
0.76937,7817783
0.77137,7817729
0.77337,7817700
0.77537,7817701
0.77737,7817727
0.77937,7817764
0.78137,7817792
0.78337,7817793
0.78537,7817760
0.78737,7817692
0.78867,7817602
0.79067,7817506
0.79267,7817420
0.79467,7817348
0.79667,7817290
0.79867,7817240
0.80067,7817193
0.80267,7817147
0.80467,7817107
0.80667,7817094
0.80867,7817126
0.81067,7817206
0.81267,7817317
0.81467,7817436
0.81667,7817544
0.81867,7817636
0.82067,7817733
0.82267,7817876
0.82467,7818122
0.82667,7818513
0.82867,7819052
0.83067,7819694
0.83267,7820351
0.83467,7820917
0.83667,7821293
0.83867,7821417
0.84067,7821283
0.84267,7820943
0.84467,7820486
0.84667,7820006
0.84867,7819578
0.85067,7819251
0.85267,7819040
0.85467,7818931
0.85667,7818894
0.85867,7818898
0.86067,7818926
0.86267,7818969
0.86467,7819022
0.86667,7819078
0.86867,7819132
0.87067,7819176
0.87267,7819201
0.87467,7819199
0.87667,7819165
0.87867,7819098
0.88067,7819007
0.88267,7818905
0.88467,7818810
0.88667,7818738
0.88867,7818702
0.89067,7818705
0.89267,7818741
0.89467,7818794
0.89667,7818844
0.89867,7818873
0.89993,7818868
0.90193,7818824
0.90393,7818745
0.90593,7818635
0.90793,7818502
0.90993,7818356
0.91193,7818209
0.91393,7818066
0.91593,7817920
0.91793,7817766
0.91993,7817605
0.92193,7817457
0.92393,7817357
0.92593,7817356
0.92793,7817506
0.92993,7817847
0.93193,7818378
0.93393,7819057
0.93593,7819794
0.93793,7820480
0.93993,7821010
0.94193,7821312
0.94393,7821365
0.94593,7821203
0.94793,7820897
0.94993,7820534
0.95193,7820183
0.95393,7819884
0.95593,7819653
0.95793,7819480
0.95993,7819345
0.96193,7819232
0.96393,7819142
0.96593,7819088
0.96793,7819079
0.96993,7819115
0.97193,7819182
0.97393,7819264
0.97593,7819342
0.97793,7819405
0.97993,7819448
0.98193,7819475
0.98393,7819487
0.98593,7819489
0.98793,7819480
0.98993,7819456
0.99193,7819416
0.99393,7819360
0.99593,7819292
0.99793,7819219
0.99993,7819148
1.00193,7819086
1.00393,7819034
1.00593,7818993
1.00793,7818960
1.00993,7818939
1.01120,7818934
1.01320,7818953
1.01520,7818997
1.01720,7819060
1.01920,7819129
1.02120,7819192
1.02320,7819242
1.02520,7819273
1.02720,7819277
1.02920,7819243
1.03120,7819167
1.03320,7819050
1.03520,7818909
1.03720,7818775
1.03920,7818698
1.04120,7818735
1.04320,7818932
1.04520,7819301
1.04720,7819811
1.04920,7820389
1.05120,7820936
1.05320,7821357
1.05520,7821582
1.05720,7821596
1.05920,7821436
1.06120,7821177
1.06320,7820906
1.06520,7820692
1.06720,7820577
1.06920,7820564
1.07120,7820622
1.07320,7820703
1.07520,7820768
1.07720,7820794
1.07920,7820777
1.08120,7820722
1.08320,7820645
1.08520,7820562
1.08720,7820488
1.08920,7820434
1.09120,7820404
1.09320,7820394
1.09520,7820395
1.09720,7820399
1.09920,7820398
1.10120,7820386
1.10320,7820360
1.10520,7820325
1.10720,7820282
1.10920,7820236
1.11120,7820190
1.11320,7820144
1.11520,7820098
1.11720,7820049
1.11920,7819993
1.12120,7819929
1.12247,7819857
1.12447,7819775
1.12647,7819682
1.12847,7819573
1.13047,7819443
1.13247,7819297
1.13447,7819150
1.13647,7819023
1.13847,7818930
1.14047,7818876
1.14247,7818861
1.14447,7818880
1.14647,7818928
1.14847,7819011
1.15047,7819151
1.15247,7819378
1.15447,7819716
1.15647,7820171
1.15847,7820713
1.16047,7821277
1.16247,7821781
1.16447,7822146
1.16647,7822317
1.16847,7822281
1.17047,7822075
1.17247,7821767
1.17447,7821432
1.17647,7821135
1.17847,7820918
1.18047,7820791
1.18247,7820739
1.18447,7820731
1.18647,7820738
1.18847,7820740
1.19047,7820720
1.19247,7820667
1.19447,7820569
1.19647,7820420
1.19847,7820222
1.20047,7819987
1.20247,7819737
1.20447,7819494
1.20647,7819282
1.20847,7819116
1.21047,7819005
1.21247,7818947
1.21447,7818931
1.21647,7818946
1.21847,7818979
1.22047,7819021
1.22247,7819067
1.22447,7819118
1.22647,7819176
1.22847,7819242
1.23047,7819319
1.23247,7819405
1.23373,7819497
1.23573,7819592
1.23773,7819680
1.23973,7819749
1.24173,7819777
1.24373,7819734
1.24573,7819593
1.24773,7819354
1.24973,7819051
1.25173,7818753
1.25373,7818560
1.25573,7818571
1.25773,7818859
1.25973,7819439
1.26173,7820254
1.26373,7821180
1.26573,7822062
1.26773,7822752
1.26973,7823153
1.27173,7823235
1.27373,7823044
1.27573,7822682
1.27773,7822265
1.27973,7821891
1.28173,7821619
1.28373,7821465
1.28573,7821406
1.28773,7821401
1.28973,7821407
1.29173,7821399
1.29373,7821366
1.29573,7821308
1.29773,7821229
1.29973,7821133
1.30173,7821026
1.30373,7820911
1.30573,7820796
1.30773,7820686
1.30973,7820585
1.31173,7820499
1.31373,7820431
1.31573,7820382
1.31773,7820352
1.31973,7820343
1.32173,7820356
1.32373,7820394
1.32573,7820456
1.32773,7820540
1.32973,7820636
1.33173,7820733
1.33373,7820814
1.33573,7820865
1.33773,7820874
1.33973,7820842
1.34173,7820774
1.34373,7820685
1.34503,7820589
1.34703,7820495
1.34903,7820401
1.35103,7820295
1.35303,7820159
1.35503,7819980
1.35703,7819762
1.35903,7819528
1.36103,7819306
1.36303,7819118
1.36503,7818973
1.36703,7818870
1.36903,7818800
1.37103,7818760
1.37303,7818764
1.37503,7818843
1.37703,7819043
1.37903,7819394
1.38103,7819900
1.38303,7820517
1.38503,7821165
1.38703,7821744
1.38903,7822162
1.39103,7822363
1.39303,7822343
1.39503,7822150
1.39703,7821860
1.39903,7821553
1.40103,7821290
1.40303,7821104
1.40503,7820997
1.40703,7820947
1.40903,7820926
1.41103,7820913
1.41303,7820897
1.41503,7820872
1.41703,7820831
1.41903,7820765
1.42103,7820672
1.42303,7820551
1.42503,7820409
1.42703,7820260
1.42903,7820114
1.43103,7819986
1.43303,7819885
1.43503,7819815
1.43703,7819775
1.43903,7819762
1.44103,7819774
1.44303,7819808
1.44503,7819862
1.44703,7819937
1.44903,7820031
1.45103,7820138
1.45303,7820250
1.45503,7820352
1.45630,7820434
1.45830,7820481
1.46030,7820481
1.46230,7820425
1.46430,7820303
1.46630,7820104
1.46830,7819818
1.47030,7819452
1.47230,7819041
1.47430,7818648
1.47630,7818359
1.47830,7818265
1.48030,7818437
1.48230,7818895
1.48430,7819598
1.48630,7820440
1.48830,7821275
1.49030,7821956
1.49230,7822373
1.49430,7822477
1.49630,7822291
1.49830,7821898
1.50030,7821411
1.50230,7820935
1.50430,7820543
1.50630,7820266
1.50830,7820098
1.51030,7820010
1.51230,7819963
1.51430,7819930
1.51630,7819902
1.51830,7819884
1.52030,7819881
1.52230,7819898
1.52430,7819935
1.52630,7819980
1.52830,7820021
1.53030,7820042
1.53230,7820027
1.53430,7819970
1.53630,7819877
1.53830,7819763
1.54030,7819653
1.54230,7819574
1.54430,7819551
1.54630,7819597
1.54830,7819710
1.55030,7819873
1.55230,7820061
1.55430,7820242
1.55630,7820388
1.55830,7820482
1.56030,7820521
1.56230,7820514
1.56430,7820478
1.56630,7820434
1.56757,7820396
1.56957,7820368
1.57157,7820341
1.57357,7820293
1.57557,7820200
1.57757,7820038
1.57957,7819786
1.58157,7819444
1.58357,7819038
1.58557,7818630
1.58757,7818304
1.58957,7818150
1.59157,7818242
1.59357,7818614
1.59557,7819243
1.59757,7820042
1.59957,7820879
1.60157,7821609
1.60357,7822114
1.60557,7822324
1.60757,7822232
1.60957,7821896
1.61157,7821409
1.61357,7820879
1.61557,7820387
1.61757,7819985
1.61957,7819691
1.62157,7819498
1.62357,7819381
1.62557,7819317
1.62757,7819290
1.62957,7819295
1.63157,7819326
1.63357,7819377
1.63557,7819433
1.63757,7819480
1.63957,7819509
1.64157,7819514
1.64357,7819500
1.64557,7819477
1.64757,7819462
1.64957,7819472
1.65157,7819524
1.65357,7819620
1.65557,7819757
1.65757,7819919
1.65957,7820084
1.66157,7820224
1.66357,7820319
1.66557,7820356
1.66757,7820332
1.66957,7820253
1.67157,7820138
1.67357,7820008
1.67557,7819885
1.67757,7819787
1.67883,7819729
1.68083,7819715
1.68283,7819738
1.68483,7819778
1.68683,7819811
1.68883,7819808
1.69083,7819734
1.69283,7819566
1.69483,7819307
1.69683,7818990
1.69883,7818683
1.70083,7818469
1.70283,7818434
1.70483,7818635
1.70683,7819084
1.70883,7819731
1.71083,7820472
1.71283,7821177
1.71483,7821724
1.71683,7822028
1.71883,7822063
1.72083,7821864
1.72283,7821518
1.72483,7821130
1.72683,7820794
1.72883,7820569
1.73083,7820480
1.73283,7820516
1.73483,7820641
1.73683,7820810
1.73883,7820985
1.74083,7821144
1.74283,7821275
1.74483,7821371
1.74683,7821430
1.74883,7821455
1.75083,7821450
1.75283,7821425
1.75483,7821393
1.75683,7821361
1.75883,7821337
1.76083,7821325
1.76283,7821325
1.76483,7821332
1.76683,7821341
1.76883,7821350
1.77083,7821353
1.77283,7821348
1.77483,7821333
1.77683,7821306
1.77883,7821267
1.78083,7821215
1.78283,7821154
1.78483,7821090
1.78683,7821031
1.78883,7820989
1.79010,7820973
1.79210,7820989
1.79410,7821031
1.79610,7821086
1.79810,7821136
1.80010,7821160
1.80210,7821134
1.80410,7821038
1.80610,7820869
1.80810,7820649
1.81010,7820424
1.81210,7820257
1.81410,7820210
1.81610,7820333
1.81810,7820638
1.82010,7821094
1.82210,7821627
1.82410,7822135
1.82610,7822520
1.82810,7822712
1.83010,7822681
1.83210,7822451
1.83410,7822087
1.83610,7821671
1.83810,7821282
1.84010,7820972
1.84210,7820765
1.84410,7820659
1.84610,7820633
1.84810,7820656
1.85010,7820703
1.85210,7820763
1.85410,7820832
1.85610,7820910
1.85810,7820993
1.86010,7821077
1.86210,7821156
1.86410,7821223
1.86610,7821274
1.86810,7821305
1.87010,7821316
1.87210,7821312
1.87410,7821300
1.87610,7821285
1.87810,7821271
1.88010,7821258
1.88210,7821240
1.88410,7821214
1.88610,7821172
1.88810,7821115
1.89010,7821046
1.89210,7820973
1.89410,7820904
1.89610,7820847
1.89810,7820809
1.90010,7820786
1.90137,7820776
1.90337,7820768
1.90537,7820745
1.90737,7820689
1.90937,7820585
1.91137,7820426
1.91337,7820212
1.91537,7819944
1.91737,7819641
1.91937,7819336
1.92137,7819079
1.92337,7818931
1.92537,7818949
1.92737,7819177
1.92937,7819626
1.93137,7820266
1.93337,7821020
1.93537,7821781
1.93737,7822437
1.93937,7822897
1.94137,7823110
1.94337,7823080
1.94537,7822861
1.94737,7822538
1.94937,7822202
1.95137,7821921
1.95337,7821733
1.95537,7821640
1.95737,7821623
1.95937,7821640
1.96137,7821655
1.96337,7821643
1.96537,7821598
1.96737,7821519
1.96937,7821414
1.97137,7821293
1.97337,7821167
1.97537,7821050
1.97737,7820955
1.97937,7820891
1.98137,7820862
1.98337,7820866
1.98537,7820896
1.98737,7820937
1.98937,7820974
1.99137,7820990
1.99337,7820970
1.99537,7820903
1.99737,7820783
1.99937,7820615
2.00137,7820409
2.00337,7820182
2.00537,7819957
2.00737,7819758
2.00937,7819608
2.01137,7819524
2.01263,7819512
2.01463,7819567
2.01663,7819669
2.01863,7819787
2.02063,7819888
2.02263,7819948
2.02463,7819948
2.02663,7819874
2.02863,7819727
2.03063,7819527
2.03263,7819311
2.03463,7819136
2.03663,7819063
2.03863,7819151
2.04063,7819438
2.04263,7819925
2.04463,7820565
2.04663,7821274
2.04863,7821943
2.05063,7822472
2.05263,7822788
2.05463,7822865
2.05663,7822730
2.05863,7822450
2.06063,7822109
2.06263,7821777
2.06463,7821505
2.06663,7821313
2.06863,7821200
2.07063,7821143
2.07263,7821121
2.07463,7821116
2.07663,7821126
2.07863,7821149
2.08063,7821179
2.08263,7821206
2.08463,7821219
2.08663,7821208
2.08863,7821172
2.09063,7821112
2.09263,7821037
2.09463,7820958
2.09663,7820887
2.09863,7820836
2.10063,7820813
2.10263,7820820
2.10463,7820857
2.10663,7820922
2.10863,7821009
2.11063,7821111
2.11263,7821222
2.11463,7821334
2.11663,7821439
2.11863,7821530
2.12063,7821603
2.12263,7821655
2.12390,7821687
2.12590,7821699
2.12790,7821689
2.12990,7821649
2.13190,7821571
2.13390,7821449
2.13590,7821281
2.13790,7821060
2.13990,7820783
2.14190,7820463
2.14390,7820125
2.14590,7819815
2.14790,7819585
2.14990,7819495
2.15190,7819592
2.15390,7819895
2.15590,7820382
2.15790,7820987
2.15990,7821611
2.16190,7822151
2.16390,7822519
2.16590,7822661
2.16790,7822575
2.16990,7822310
2.17190,7821943
2.17390,7821559
2.17590,7821227
2.17790,7820995
2.17990,7820882
2.18190,7820875
2.18390,7820947
2.18590,7821065
2.18790,7821204
2.18990,7821342
2.19190,7821457
2.19390,7821535
2.19590,7821565
2.19790,7821546
2.19990,7821485
2.20190,7821396
2.20390,7821294
2.20590,7821195
2.20790,7821113
2.20990,7821052
2.21190,7821014
2.21390,7820992
2.21590,7820979
2.21790,7820970
2.21990,7820961
2.22190,7820953
2.22390,7820950
2.22590,7820954
2.22790,7820962
2.22990,7820972
2.23190,7820977
2.23390,7820968
2.23520,7820940
2.23720,7820892
2.23920,7820828
2.24120,7820748
2.24320,7820656
2.24520,7820562
2.24720,7820473
2.24920,7820386
2.25120,7820290
2.25320,7820172
2.25520,7820033
2.25720,7819887
2.25920,7819764
2.26120,7819714
2.26320,7819787
2.26520,7820020
2.26720,7820414
2.26920,7820928
2.27120,7821480
2.27320,7821970
2.27520,7822305
2.27720,7822420
2.27920,7822298
2.28120,7821977
2.28320,7821532
2.28520,7821048
2.28720,7820598
2.28920,7820232
2.29120,7819970
2.29320,7819801
2.29520,7819697
2.29720,7819629
2.29920,7819581
2.30120,7819548
2.30320,7819527
2.30520,7819518
2.30720,7819523
2.30920,7819537
2.31120,7819557
2.31320,7819577
2.31520,7819588
2.31720,7819583
2.31920,7819557
2.32120,7819511
2.32320,7819451
2.32520,7819386
2.32720,7819328
2.32920,7819285
2.33120,7819263
2.33320,7819263
2.33520,7819281
2.33720,7819311
2.33920,7819343
2.34120,7819371
2.34320,7819392
2.34520,7819406
2.34647,7819412
2.34847,7819414
2.35047,7819408
2.35247,7819385
2.35447,7819335
2.35647,7819254
2.35847,7819148
2.36047,7819025
2.36247,7818889
2.36447,7818755
2.36647,7818638
2.36847,7818561
2.37047,7818550
2.37247,7818632
2.37447,7818830
2.37647,7819156
2.37847,7819596
2.38047,7820109
2.38247,7820629
2.38447,7821080
2.38647,7821395
2.38847,7821531
2.39047,7821483
2.39247,7821287
2.39447,7821006
2.39647,7820712
2.39847,7820463
2.40047,7820297
2.40247,7820225
2.40447,7820233
2.40647,7820289
2.40847,7820359
2.41047,7820419
2.41247,7820458
2.41447,7820469
2.41647,7820451
2.41847,7820410
