TotalSeconds	OD-TurningStrainRaw0	OD-TurningStrainRaw1
-0.1352747	6936499	8891157
-0.1327747	6936721	8891335
-0.1302747	6936993	8891534
-0.1277747	6937307	8891753
-0.1252747	6937637	8891982
-0.1227747	6937951	8892204
-0.1202747	6938215	8892397
-0.1177747	6938397	8892538
-0.1152747	6938481	8892607
-0.1127747	6938460	8892597
-0.1102747	6938345	8892509
-0.1077747	6938150	8892353
-0.1052747	6937889	8892140
-0.1027747	6937580	8891885
-0.1002747	6937239	8891605
-0.0977747	6936893	8891326
-0.0952747	6936578	8891081
-0.0927747	6936334	8890908
-0.0902747	6936204	8890842
-0.0877747	6936213	8890904
-0.0852747	6936366	8891091
-0.0827747	6936638	8891373
-0.0802747	6936983	8891704
-0.0777747	6937344	8892030
-0.0752747	6937676	8892312
-0.0727747	6937949	8892528
-0.0702747	6938153	8892680
-0.0677747	6938296	8892783
-0.0652747	6938391	8892853
-0.0627747	6938447	8892901
-0.0602747	6938461	8892918
-0.0577747	6938423	8892886
-0.0552747	6938324	8892789
-0.0527747	6938162	8892619
-0.0502747	6937946	8892386
-0.0477747	6937698	8892119
-0.0452747	6937452	8891858
-0.0427747	6937240	8891646
-0.0402747	6937095	8891523
-0.0377747	6937037	8891513
-0.0352747	6937077	8891622
-0.0327747	6937213	8891840
-0.0302747	6937431	8892143
-0.0277747	6937712	8892505
-0.0252747	6938029	8892897
-0.0227747	6938356	8893295
-0.0202747	6938666	8893677
-0.0177747	6938937	8894027
-0.0152747	6939153	8894332
-0.0127747	6939305	8894582
-0.0102747	6939393	8894771
-0.0077747	6939425	8894894
-0.0052747	6939415	8894953
-0.0027747	6939380	8894958
-0.0002747	6939340	8894924
0.0022253	6939313	8894870
0.0042517	6939314	8894819
0.0067517	6939353	8894789
0.0092517	6939424	8894785
0.0117517	6939510	8894792
0.0142517	6939575	8894774
0.0167517	6939571	8894682
0.0192517	6939457	8894470
0.0217517	6939210	8894115
0.0242517	6938842	8893633
0.0267517	6938405	8893083
0.0292517	6937985	8892566
0.0317517	6937683	8892197
0.0342517	6937583	8892067
0.0367517	6937727	8892221
0.0392517	6938095	8892632
0.0417517	6938609	8893206
0.0442517	6939153	8893808
0.0467517	6939606	8894298
0.0492517	6939871	8894573
0.0517517	6939905	8894593
0.0542517	6939717	8894385
0.0567517	6939361	8894029
0.0592517	6938917	8893626
0.0617517	6938462	8893271
0.0642517	6938060	8893028
0.0667517	6937749	8892918
0.0692517	6937543	8892931
0.0717517	6937439	8893032
0.0742517	6937423	8893180
0.0767517	6937476	8893337
0.0792517	6937567	8893468
0.0817517	6937664	8893543
0.0842517	6937730	8893540
0.0867517	6937743	8893450
0.0892517	6937691	8893273
0.0917517	6937582	8893031
0.0942517	6937446	8892764
0.0967517	6937328	8892523
0.0992517	6937269	8892362
0.1017517	6937299	8892316
0.1042517	6937425	8892399
0.1067517	6937632	8892598
0.1092517	6937885	8892875
0.1117517	6938144	8893179
0.1142517	6938369	8893460
0.1167517	6938533	8893676
0.1192517	6938623	8893802
0.1217517	6938642	8893829
0.1242517	6938599	8893764
0.1267517	6938508	8893622
0.1292517	6938385	8893424
0.1317517	6938240	8893194
0.1342517	6938078	8892955
0.1367517	6937904	8892726
0.1392517	6937720	8892523
0.1417517	6937529	8892353
0.1437781	6937338	8892214
0.1462781	6937154	8892100
0.1487781	6936988	8892000
0.1512781	6936854	8891908
0.1537781	6936770	8891831
0.1562781	6936753	8891785
0.1587781	6936820	8891791
0.1612781	6936982	8891874
0.1637781	6937242	8892049
0.1662781	6937591	8892314
0.1687781	6938002	8892649
0.1712781	6938430	8893010
0.1737781	6938820	8893346
0.1762781	6939117	8893605
0.1787781	6939278	8893752
0.1812781	6939276	8893768
0.1837781	6939114	8893658
0.1862781	6938821	8893450
0.1887781	6938454	8893189
0.1912781	6938076	8892922
0.1937781	6937747	8892693
0.1962781	6937509	8892531
0.1987781	6937379	8892449
0.2012781	6937348	8892440
0.2037781	6937384	8892480
0.2062781	6937444	8892536
0.2087781	6937487	8892574
0.2112781	6937488	8892570
0.2137781	6937437	8892514
